Site,Date,TDS.mg.L,TSS.mg.L,NN.mg.L,TN.mg.L,TP.mg.L
Dearborn US,2017-02,NA,NA,NA,NA,NA
Dearborn DS,2017-02,NA,NA,NA,NA,NA
Hardy,2017-02,NA,NA,NA,NA,NA
Cascade,2017-02,NA,NA,NA,NA,NA
LPPC US,2017-03,NA,NA,NA,NA,NA
LPPC DS,2017-03,NA,NA,NA,NA,NA
Craig,2017-03,NA,NA,NA,NA,NA
Dearborn US,2017-03,NA,NA,NA,NA,NA
Dearborn DS,2017-03,NA,NA,NA,NA,NA
Hardy,2017-03,NA,NA,NA,NA,NA
Cascade,2017-03,NA,NA,NA,NA,NA
LPPC US,2017-04,NA,NA,NA,NA,NA
LPPC DS,2017-04,NA,NA,NA,NA,NA
Craig,2017-04,NA,NA,NA,NA,NA
Dearborn US,2017-04,NA,NA,NA,NA,NA
Dearborn DS,2017-04,NA,NA,NA,NA,NA
Hardy,2017-04,NA,NA,NA,NA,NA
Cascade,2017-04,NA,NA,NA,NA,NA
LPPC US,2017-05,NA,NA,NA,NA,NA
LPPC DS,2017-05,NA,NA,NA,NA,NA
Craig,2017-05,NA,NA,NA,NA,NA
Dearborn US,2017-05,NA,NA,NA,NA,NA
Dearborn DS,2017-05,NA,NA,NA,NA,NA
Hardy,2017-05,NA,NA,NA,NA,NA
Cascade,2017-05,NA,NA,NA,NA,NA
LPPC US,2017-06,150,NA,NA,NA,NA
LPPC DS,2017-06,110,NA,NA,NA,NA
Craig,2017-06,163,NA,NA,NA,NA
Dearborn US,2017-06,NA,NA,NA,NA,NA
Dearborn DS,2017-06,NA,NA,NA,NA,NA
Hardy,2017-06,NA,NA,NA,NA,NA
Cascade,2017-06,NA,NA,NA,NA,NA
LPPC US,2017-07,216,0,0,0.18,0.013
LPPC DS,2017-07,197,0,0.04,0.12,0.016
Craig,2017-07,207,0,0,0.22,0.012
Dearborn US,2017-07,202,0,0.05,0.22,0.012
Dearborn DS,2017-07,187,0,0,0.09,0.004
Hardy,2017-07,208,0,0,0.2,0.012
Cascade,2017-07,206,4,0,0.21,0.014
LPPC US,2017-08,NA,NA,NA,NA,NA
LPPC DS,2017-08,NA,NA,NA,NA,NA
Craig,2017-08,NA,NA,NA,NA,NA
Dearborn US,2017-08,NA,NA,NA,NA,NA
Dearborn DS,2017-08,NA,NA,NA,NA,NA
Hardy,2017-08,NA,NA,NA,NA,NA
Cascade,2017-08,NA,NA,NA,NA,NA
LPPC US,2017-09,NA,NA,NA,NA,NA
LPPC DS,2017-09,NA,NA,NA,NA,NA
Craig,2017-09,NA,NA,NA,NA,NA
Dearborn US,2017-09,NA,NA,NA,NA,NA
Dearborn DS,2017-09,NA,NA,NA,NA,NA
Hardy,2017-09,NA,NA,NA,NA,NA
Cascade,2017-09,NA,NA,NA,NA,NA
LPPC US,2017-10,197,0,0.14,0.38,0.068
LPPC DS,2017-10,203,0,0,0.11,0.016
Craig,2017-10,195,0,0.14,0.36,0.068
Dearborn US,2017-10,194,0,0.15,0.37,0.067
Dearborn DS,2017-10,191,0,0.15,0.36,0.069
Hardy,2017-10,190,0,0.15,0.34,0.063
Cascade,2017-10,193,0,0.08,0.29,0.055
LPPC US,2017-11,NA,NA,NA,NA,NA
LPPC DS,2017-11,NA,NA,NA,NA,NA
Craig,2017-11,NA,NA,NA,NA,NA
Dearborn US,2017-11,NA,NA,NA,NA,NA
Dearborn DS,2017-11,NA,NA,NA,NA,NA
Hardy,2017-11,NA,NA,NA,NA,NA
Cascade,2017-11,NA,NA,NA,NA,NA
LPPC US,2017-12,NA,NA,NA,NA,NA
LPPC DS,2017-12,NA,NA,NA,NA,NA
Craig,2017-12,NA,NA,NA,NA,NA
Dearborn US,2017-12,NA,NA,NA,NA,NA
Dearborn DS,2017-12,NA,NA,NA,NA,NA
Hardy,2017-12,NA,NA,NA,NA,NA
Cascade,2017-12,NA,NA,NA,NA,NA
LPPC US,2018-01,NA,NA,NA,NA,NA
LPPC DS,2018-01,NA,NA,NA,NA,NA
Craig,2018-01,NA,NA,NA,NA,NA
Dearborn US,2018-01,NA,NA,NA,NA,NA
Dearborn DS,2018-01,NA,NA,NA,NA,NA
Hardy,2018-01,NA,NA,NA,NA,NA
Cascade,2018-01,NA,NA,NA,NA,NA
LPPC US,2018-02,NA,NA,NA,NA,NA
LPPC DS,2018-02,NA,NA,NA,NA,NA
Craig,2018-02,NA,NA,NA,NA,NA
Dearborn US,2018-02,NA,NA,NA,NA,NA
Dearborn DS,2018-02,NA,NA,NA,NA,NA
Hardy,2018-02,NA,NA,NA,NA,NA
Cascade,2018-02,NA,NA,NA,NA,NA
LPPC US,2018-03,NA,NA,NA,NA,NA
LPPC DS,2018-03,NA,NA,NA,NA,NA
Craig,2018-03,NA,NA,NA,NA,NA
Dearborn US,2018-03,NA,NA,NA,NA,NA
Dearborn DS,2018-03,NA,NA,NA,NA,NA
Hardy,2018-03,NA,NA,NA,NA,NA
Cascade,2018-03,NA,NA,NA,NA,NA
LPPC US,2018-04,NA,NA,NA,NA,NA
LPPC DS,2018-04,NA,NA,NA,NA,NA
Craig,2018-04,NA,NA,NA,NA,NA
Dearborn US,2018-04,NA,NA,NA,NA,NA
Dearborn DS,2018-04,NA,NA,NA,NA,NA
Hardy,2018-04,NA,NA,NA,NA,NA
Cascade,2018-04,NA,NA,NA,NA,NA
LPPC US,2018-05,NA,NA,NA,NA,NA
LPPC DS,2018-05,NA,NA,NA,NA,NA
Craig,2018-05,NA,NA,NA,NA,NA
Dearborn US,2018-05,NA,NA,NA,NA,NA
Dearborn DS,2018-05,NA,NA,NA,NA,NA
Hardy,2018-05,NA,NA,NA,NA,NA
Cascade,2018-05,NA,NA,NA,NA,NA
LPPC US,2018-06,203,6,0.14,0.45,0.031
LPPC DS,2018-06,202,2.4,0.14,0.43,0.03
Craig,2018-06,206,10,0.14,0.44,0.037
Dearborn US,2018-06,204,6,0.15,0.44,0.033
Dearborn DS,2018-06,166,6,0,0.08,0.006
Hardy,2018-06,204,7,0.14,0.41,0.028
Cascade,2018-06,206,9,0.14,0.42,0.035
LPPC US,2018-07,177,1.2,0.08,0.38,0.033
LPPC DS,2018-07,198,2.8,0.06,0.24,0.018
Craig,2018-07,173,1.6,0.03,0.32,0.031
Dearborn US,2018-07,163,1.6,0.04,0.32,0.028
Dearborn DS,2018-07,192,0.8,0,0.11,0.006
Hardy,2018-07,167,1.2,0.03,0.33,0.027
Cascade,2018-07,168,4,0,0.3,0.025
LPPC US,2018-08,NA,NA,NA,NA,NA
LPPC DS,2018-08,NA,NA,NA,NA,NA
Craig,2018-08,NA,NA,NA,NA,NA
Dearborn US,2018-08,NA,NA,NA,NA,NA
Dearborn DS,2018-08,NA,NA,NA,NA,NA
Hardy,2018-08,NA,NA,NA,NA,NA
Cascade,2018-08,NA,NA,NA,NA,NA
LPPC US,2018-09,NA,NA,NA,NA,NA
LPPC DS,2018-09,NA,NA,NA,NA,NA
Craig,2018-09,NA,NA,NA,NA,NA
Dearborn US,2018-09,NA,NA,NA,NA,NA
Dearborn DS,2018-09,NA,NA,NA,NA,NA
Hardy,2018-09,NA,NA,NA,NA,NA
Cascade,2018-09,NA,NA,NA,NA,NA
LPPC US,2018-10,179,2.4,0.17,0.49,0.08
LPPC DS,2018-10,208,2.4,0.07,0.24,0.017
Craig,2018-10,181,2.8,0.17,0.48,0.081
Dearborn US,2018-10,177,1.2,0.17,0.46,0.079
Dearborn DS,2018-10,205,0.8,0,0.07,0
Hardy,2018-10,179,2,0.19,0.47,0.078
Cascade,2018-10,180,1.2,0.14,0.47,0.076
LPPC US,2018-11,NA,NA,NA,NA,NA
LPPC DS,2018-11,NA,NA,NA,NA,NA
Craig,2018-11,NA,NA,NA,NA,NA
Dearborn US,2018-11,NA,NA,NA,NA,NA
Dearborn DS,2018-11,NA,NA,NA,NA,NA
Hardy,2018-11,NA,NA,NA,NA,NA
Cascade,2018-11,NA,NA,NA,NA,NA
LPPC US,2018-12,NA,NA,NA,NA,NA
LPPC DS,2018-12,NA,NA,NA,NA,NA
Craig,2018-12,NA,NA,NA,NA,NA
Dearborn US,2018-12,NA,NA,NA,NA,NA
Dearborn DS,2018-12,NA,NA,NA,NA,NA
Hardy,2018-12,NA,NA,NA,NA,NA
Cascade,2018-12,NA,NA,NA,NA,NA
LPPC US,2019-01,NA,NA,NA,NA,NA
LPPC DS,2019-01,NA,NA,NA,NA,NA
Craig,2019-01,NA,NA,NA,NA,NA
Dearborn US,2019-01,NA,NA,NA,NA,NA
Dearborn DS,2019-01,NA,NA,NA,NA,NA
Hardy,2019-01,NA,NA,NA,NA,NA
Cascade,2019-01,NA,NA,NA,NA,NA
LPPC US,2019-02,NA,NA,NA,NA,NA
LPPC DS,2019-02,NA,NA,NA,NA,NA
Craig,2019-02,NA,NA,NA,NA,NA
Dearborn US,2019-02,NA,NA,NA,NA,NA
Dearborn DS,2019-02,NA,NA,NA,NA,NA
Hardy,2019-02,NA,NA,NA,NA,NA
Cascade,2019-02,NA,NA,NA,NA,NA
LPPC US,2019-03,NA,NA,NA,NA,NA
LPPC DS,2019-03,NA,NA,NA,NA,NA
Craig,2019-03,NA,NA,NA,NA,NA
Dearborn US,2019-03,NA,NA,NA,NA,NA
Dearborn DS,2019-03,NA,NA,NA,NA,NA
Hardy,2019-03,NA,NA,NA,NA,NA
Cascade,2019-03,NA,NA,NA,NA,NA
LPPC US,2019-04,NA,NA,NA,NA,NA
LPPC DS,2019-04,NA,NA,NA,NA,NA
